age,remaining_life_years,remaining_qalys_newnorm,hrqol
40,44.1,37.8,0.853
41,43.1,37,0.853
42,42.1,36.2,0.853
43,41.2,35.3,0.853
44,40.2,34.5,0.853
45,39.2,33.7,0.853
46,38.3,32.9,0.853
47,37.3,32.1,0.853
48,36.4,31.2,0.853
49,35.4,30.4,0.853
50,34.5,29.6,0.87
51,33.5,28.8,0.87
52,32.6,28,0.87
53,31.7,27.2,0.87
54,30.7,26.4,0.87
55,29.8,25.6,0.87
56,28.9,24.8,0.87
57,28,24,0.87
58,27.1,23.2,0.87
59,26.2,22.4,0.87
60,25.3,21.6,0.885
61,24.4,20.8,0.885
62,23.5,20,0.885
63,22.6,19.2,0.885
64,21.8,18.5,0.885
65,20.9,17.7,0.885
66,20.1,17,0.885
67,19.2,16.2,0.885
68,18.4,15.5,0.885
69,17.6,14.8,0.885
70,16.8,14.1,0.859
71,16,13.4,0.859
72,15.3,12.7,0.859
73,14.5,12,0.859
74,13.7,11.4,0.859
75,13,10.7,0.859
76,12.3,10.1,0.859
77,11.6,9.5,0.859
78,10.9,8.9,0.859
79,10.2,8.3,0.859
80,9.6,7.8,0.811
81,9,7.3,0.811
82,8.4,6.8,0.811
83,7.8,6.3,0.811
84,7.2,5.8,0.811
85,6.7,5.4,0.811
86,6.2,5,0.811
87,5.7,4.6,0.811
88,5.2,4.2,0.811
89,4.8,3.9,0.811
90,4.4,3.6,0.811
