age,qx
0,0.00244269
1,0.00014811
2,8.882e-05
3,7.019e-05
4,5.473e-05
5,3.008e-05
6,6.935e-05
7,6.618e-05
8,6.336e-05
9,6.534e-05
10,5.934e-05
11,4.472e-05
12,3.01e-05
13,9.545e-05
14,0.00011468
15,0.00012847
16,0.00015287
17,0.0002286
18,0.00048085
19,0.00021525
20,0.00023285
21,0.00034231
22,0.00031029
23,0.00018992
24,0.00031788
25,0.00045054
26,0.00047775
27,0.00038217
28,0.00040906
29,0.00034961
30,0.00052347
31,0.00052694
32,0.00054477
33,0.00052167
34,0.00045179
35,0.00048901
36,0.00063566
37,0.0006856
38,0.00056484
39,0.00062465
40,0.00086765
41,0.00058887
42,0.00080021
43,0.00105157
44,0.00092776
45,0.0009608
46,0.00115514
47,0.00119168
48,0.0014261
49,0.00138903
50,0.00141289
51,0.00162149
52,0.00209168
53,0.00212153
54,0.00237773
55,0.00236031
56,0.00290493
57,0.00286901
58,0.00347911
59,0.00392249
60,0.00478769
61,0.00471144
62,0.00522124
63,0.00650916
64,0.00614697
65,0.00711328
66,0.00829249
67,0.00919824
68,0.0096829
69,0.01167237
70,0.01189609
71,0.01421172
72,0.01605773
73,0.01750969
74,0.02006922
75,0.02238834
76,0.02330354
77,0.02710097
78,0.03121237
79,0.03749484
80,0.03929121
81,0.04683463
82,0.0525612
83,0.06089829
84,0.06333459
85,0.07482589
86,0.08475347
87,0.09820342
88,0.10868472
89,0.12569694
90,0.14343141
91,0.16764777
92,0.17654711
93,0.19318171
94,0.2339626
95,0.25257913
96,0.28543348
97,0.30978833
98,0.30387916
99,0.33402203
100,0.35181592
101,0.38715448
102,0.46201928
103,0.42598498
104,0.33023618
105,0.4464314
106,1.0
