age,qx_male,qx_female
0,0.0027100000,0.0021900000
1,0.0002306250,0.0000701536
2,0.0001404128,0.0000400906
3,0.0000702163,0.0000701614
4,0.0000702212,0.0000400950
5,0.0000300969,0.0000300725
6,0.0001003261,0.0000400978
7,0.0000301008,0.0001002486
8,0.0001304409,0.0000000000
9,0.0000602113,0.0000701811
10,0.0000903225,0.0000300797
11,0.0000602204,0.0000300806
12,0.0000301120,0.0000300815
13,0.0000903388,0.0001002748
14,0.0001405397,0.0000902563
15,0.0002007992,0.0000601763
16,0.0002510494,0.0000601799
17,0.0003113794,0.0001504589
18,0.0007033338,0.0002708668
19,0.0002413127,0.0001906616
20,0.0003519994,0.0001204408
21,0.0005030333,0.0001907209
22,0.0005435494,0.0000903587
23,0.0002316377,0.0001506115
24,0.0004633827,0.0001807610
25,0.0007155527,0.0002008819
26,0.0006757234,0.0002913372
27,0.0005853501,0.0001909317
28,0.0005553985,0.0002713759
29,0.0004647732,0.0002412885
30,0.0007379179,0.0003217956
31,0.0008092743,0.0002615431
32,0.0007390609,0.0003622313
33,0.0006484230,0.0004026251
34,0.0005576001,0.0003524389
35,0.0007202126,0.0002719773
36,0.0006902782,0.0005844064
37,0.0009650254,0.0004234383
38,0.0008337739,0.0003126702
39,0.0005698817,0.0006759824
40,0.0012116892,0.0005451902
41,0.0007645961,0.0004242681
42,0.0012446947,0.0003840246
43,0.0012462459,0.0008694421
44,0.0012273453,0.0006475898
45,0.0010138041,0.0009112632
46,0.0014043648,0.0009222288
47,0.0012728915,0.0011158110
48,0.0017678740,0.0011069024
49,0.0018533773,0.0009556342
50,0.0018258717,0.0010277806
51,0.0019842295,0.0012835009
52,0.0022677615,0.0019277256
53,0.0026880604,0.0015942118
54,0.0027993714,0.0019857111
55,0.0026820003,0.0020614539
56,0.0038088461,0.0020657123
57,0.0034977889,0.0022862557
58,0.0042268367,0.0027869529
59,0.0049857625,0.0029396543
60,0.0053299006,0.0042875236
61,0.0058076730,0.0037012709
62,0.0069389160,0.0036417673
63,0.0077782231,0.0053460771
64,0.0071186034,0.0052586562
65,0.0089290623,0.0054563018
66,0.0096530451,0.0070552573
67,0.0111027707,0.0074708690
68,0.0113973670,0.0081336034
69,0.0136603255,0.0098818545
70,0.0145350188,0.0095283258
71,0.0164118042,0.0122476702
72,0.0199700330,0.0125798925
73,0.0207805868,0.0146237885
74,0.0232575568,0.0172737384
75,0.0273408527,0.0180725022
76,0.0275177491,0.0196657542
77,0.0306893615,0.0240282166
78,0.0375329512,0.0258369723
79,0.0453873576,0.0308631639
80,0.0455566688,0.0341055598
81,0.0531865825,0.0416397187
82,0.0622217743,0.0447555460
83,0.0713479624,0.0526094276
84,0.0759422862,0.0535317637
85,0.0884876318,0.0644550240
86,0.0944441900,0.0775860524
87,0.1182792980,0.0836263331
88,0.1305033701,0.0934413024
89,0.1419429325,0.1148108310
90,0.1591188682,0.1332417582
91,0.1878571755,0.1549128368
92,0.2046836298,0.1595080962
93,0.2157417894,0.1802540118
94,0.2551444043,0.2223501701
95,0.2789288743,0.2387426802
96,0.3073433036,0.2745358090
97,0.3374575449,0.2966483851
98,0.2932991578,0.3086120256
99,0.3585492228,0.3228070175
100,0.3642972536,0.3464100666
101,0.3545108005,0.4009060023
102,0.5511811024,0.4215500945
103,0.3596491228,0.4493464052
104,0.2671232877,0.3560830861
105,0.3364485981,0.4976958525
106,1.0000000000,1.0000000000
