"command","value","category","description","source_file"
"detICER","35,995","det","Deterministic ICER (NOK/QALY)","deterministic_results.csv"
"detIncrCost","32,764","det","Deterministic incremental cost (NOK)","deterministic_results.csv"
"detIncrQALY","0.910","det","Deterministic incremental QALYs","deterministic_results.csv"
"detIncrLY","1.15","det","Deterministic incremental life-years (discounted)","deterministic_results.csv"
"detIncrLYundisc","2.23","det","Deterministic incremental life-years (undiscounted)","deterministic_results.csv"
"detCostPerLY","28,576","det","Deterministic cost per life-year gained (NOK/LY)","deterministic_results.csv"
"detQALYexercise","11.160","det","Exercise arm total discounted QALYs","deterministic_results.csv"
"detQALYcontrol","10.250","det","Control arm total discounted QALYs","deterministic_results.csv"
"detCostExercise","526,535","det","Exercise arm total cost (NOK)","deterministic_results.csv"
"detCostControl","493,771","det","Control arm total cost (NOK)","deterministic_results.csv"
"detQALYctrlUndisc","15.89","det","Control arm undiscounted QALYs","deterministic_results.csv"
"detIncrQALYundisc","1.735","det","Deterministic incremental QALYs (undiscounted)","deterministic_results.csv"
"detIncrCostUndisc","71,320","det","Deterministic incremental cost (NOK, undiscounted)","deterministic_results.csv"
"detICERstd","20,636","det","Deterministic ICER healthcare-services-only perspective (NOK/QALY)","perspective_delta.rds"
"detPerspectiveDelta","15,359","det","Perspective ICER difference (NOK/QALY)","perspective_delta.rds"
"detPerspectiveDeltaPct","74","det","Perspective ICER difference (percentage)","perspective_delta.rds"
"psaICER","33,089","psa","PA mean ICER (NOK/QALY, ratio of means)","psa_results.rds"
"psaIncrCost","29,224","psa","PA mean incremental cost (NOK)","psa_results.rds"
"psaIncrQALY","0.883","psa","PA mean incremental QALYs","psa_results.rds"
"psaProbCE","99.3","psa","P(CE) at applicable cost-effectiveness threshold (%)","psa_results.rds"
"psaNEpct","59.7","psa","CE plane north-east quadrant (%)","psa_results.rds"
"psaSEpct","39.7","psa","CE plane south-east quadrant (%)","psa_results.rds"
"psaNWpct","0.0","psa","CE plane north-west quadrant (%)","psa_results.rds"
"psaSWpct","0.6","psa","CE plane south-west quadrant (%)","psa_results.rds"
"psaDecisionUncertainty","0.7","psa","Decision uncertainty (100% minus P(CE))","psa_results.rds"
"psaCrossoverWTP","30,000","psa","50% crossover threshold (NOK)","psa_results.rds"
"psaProbCEcatOne","97.6","psa","P(CE) at severity category 1 (275K) (%)","psa_results.rds"
"psaProbCEcatTwo","99.3","psa","P(CE) at severity category 2 (385K) (%)","psa_results.rds"
"psaProbCEcatFour","99.7","psa","P(CE) at severity category 4 (605K) (%)","psa_results.rds"
"psaProbCEcatFive","99.8","psa","P(CE) at severity category 5 (715K) (%)","psa_results.rds"
"psaProbCEcatSix","99.7","psa","P(CE) at severity category 6 (825K) (%)","psa_results.rds"
"evpiPerPatient","372","evpi","Per-patient EVPI at applicable threshold (NOK)","evppi_results.rds"
"evpiOpportunityCost","1,385","evpi","Per-patient EVPI at the quantified opportunity-cost threshold (NOK)","psa_results.rds"
"evpiPopFiveYr","1.4","evpi","Population EVPI 5-year horizon (million NOK)","pop_evpi_horizon.rds"
"evpiPopTenYr","2.5","evpi","Population EVPI 10-year horizon (million NOK)","pop_evpi_horizon.rds"
"evpiPopTwentyYr","4.3","evpi","Population EVPI 20-year horizon (million NOK)","pop_evpi_horizon.rds"
"evppiHRos","2","evppi","Individual EVPPI HR OS (NOK)","evppi_results.rds"
"evppiHRdfs","164","evppi","Individual EVPPI HR DFS (NOK)","evppi_results.rds"
"evppiJointHR","227","evppi","Joint EVPPI HR OS + HR DFS (NOK)","evppi_results.rds"
"evppiJointHRpct","61.0","evppi","Joint EVPPI as percentage of EVPI (%)","evppi_results.rds"
"evppiNaiveSum","166","evppi","Naive sum of individual EVPPIs HR OS + HR DFS (NOK)","evppi_results.rds"
"rhoSensitivityIcerMin","30,311","psa_spec","Positive-rho sensitivity ICER minimum","psa_specification_sensitivity.rds"
"rhoSensitivityIcerMax","31,837","psa_spec","Positive-rho sensitivity ICER maximum","psa_specification_sensitivity.rds"
"rhoSensitivityPceMin","98.2","psa_spec","Positive-rho sensitivity P(CE), percent minimum","psa_specification_sensitivity.rds"
"rhoSensitivityPceMax","98.9","psa_spec","Positive-rho sensitivity P(CE), percent maximum","psa_specification_sensitivity.rds"
"rhoSensitivityEvpiMin","564","psa_spec","Positive-rho sensitivity EVPI minimum","psa_specification_sensitivity.rds"
"rhoSensitivityEvpiMax","1,161","psa_spec","Positive-rho sensitivity EVPI maximum","psa_specification_sensitivity.rds"
"rhoSensitivityJointEvppiMin","471","psa_spec","Positive-rho sensitivity joint-HR EVPPI minimum","psa_specification_sensitivity.rds"
"rhoSensitivityJointEvppiMax","1,148","psa_spec","Positive-rho sensitivity joint-HR EVPPI maximum","psa_specification_sensitivity.rds"
"rhoSensitivityCeCorrMin","0.054","psa_spec","Positive-rho sensitivity incremental cost-QALY correlation minimum","psa_specification_sensitivity.rds"
"rhoSensitivityCeCorrMax","0.415","psa_spec","Positive-rho sensitivity incremental cost-QALY correlation maximum","psa_specification_sensitivity.rds"
"rhoSensitivityConvergenceMaxN","100","psa_spec","Maximum primary convergence N across positive-rho rows","psa_specification_sensitivity.rds"
"mappingSensitivityIcer","33,088","psa_spec","Mapping-RMSE quadrature sensitivity ICER","psa_specification_sensitivity.rds"
"mappingSensitivityPce","99.3","psa_spec","Mapping-RMSE quadrature sensitivity P(CE), percent","psa_specification_sensitivity.rds"
"mappingSensitivityEvpi","372","psa_spec","Mapping-RMSE quadrature sensitivity EVPI","psa_specification_sensitivity.rds"
"costSurveillanceAnnual","5,802","parameter","Annual surveillance cost, years 0-5","R/00-parameters.R"
"costSurveillanceFiveYear","29,008.80","parameter","Five-year surveillance bundle, undiscounted","R/00-parameters.R"
"costProgressedAnnual","198,319","parameter","Annual progressed-state cost","R/00-parameters.R"
"costProgressedEURsource","17,779","parameter","Progressed-state cost in the source price basis (EUR, 2011 prices)","R/00-parameters.R"
"paramCostTerminal","164,687","param","Terminal care cost (NOK)","R/00-parameters.R"
"paramSessionsAdherence","28.92","param","Adherence-adjusted supervised exercise contacts over programme","R/00-parameters.R"
"paramCostExerciseAnnual","21,244","param","Annual exercise programme cost, exercise visits plus behavioural support (NOK/year)","R/00-parameters.R"
"paramBehaviourContacts","33.30","param","Adherence-adjusted behavioural-support contacts over programme","R/00-parameters.R"
"paramCostBehaviourContact","327","param","Behavioural-support contact unit cost, Helfo A3a + 1 x A3b (NOK)","R/00-parameters.R"
"paramCostBehaviourAnnual","3,630","param","Annual behavioural-support cost (NOK/year)","R/00-parameters.R"
"paramCostProgrammeCycle","1,770","param","Programme cost per active monthly cycle, before occupancy and discounting (NOK)","R/00-parameters.R"
"paramCostSessionExtended","1,827","param","Extended-perspective exercise cost per contact (NOK)","R/00-parameters.R"
"paramCostSessionHealthcare","1,266","param","Base-case healthcare session cost, DMP-adjusted tariff (NOK)","R/00-parameters.R"
"paramCostSessionTariffBare","633","param","Bare Helfo A3 session tariff, before the DMP adjustment (NOK)","R/00-parameters.R"
"ssaICERstepWane","−119,285","ssa","SSA ICER: step waning at year 5","structural_sa_results.csv"
"ssaICERlinearWane","−61,057","ssa","SSA ICER: linear waning years 3-10","structural_sa_results.csv"
"ssaICERtenYr","11,907","ssa","SSA ICER: 10-year time horizon","structural_sa_results.csv"
"ssaICERtwentyYr","20,368","ssa","SSA ICER: 20-year time horizon","structural_sa_results.csv"
"ssaICERpmin","21,343","ssa","SSA ICER: pmin mortality method","structural_sa_results.csv"
"ssaICERdrugDiscount","39,576","ssa","SSA ICER: 40% drug discount scenario","structural_sa_results.csv"
"ssaICERageSeventyFour","−1,282,906","ssa","SSA ICER: age 74 subgroup","structural_sa_results.csv"
"ssaIncrQALYageSeventyFour","0.049","ssa","SSA incremental QALYs: age 74 subgroup","structural_sa_results.csv"
"ssaICERfullAdherence","89,739","ssa","SSA ICER: full adherence scenario","structural_sa_results.csv"
"ssaICERdfsGengamma","55,844","ssa","SSA ICER: generalised-gamma DFS survival specification","structural_sa_results.csv"
"ssaNtested","25","ssa","Structural SA: named scenarios tested (excl. base case)","structural_sa_results.csv"
"ssaNcompleted","24","ssa","Structural SA: named scenarios completed (finite ICER)","structural_sa_results.csv"
"ssaNfailed","1","ssa","Structural SA: named scenarios failed (NA ICER)","structural_sa_results.csv"
"ssaNcostEffective","24","ssa","Structural SA: completed scenarios cost-effective vs own sev_reference (F2)","structural_sa_results.csv"
"ssaINMBmin","53,144","ssa","Structural SA: minimum scenario INMB at its own severity-weighted threshold (NOK)","structural_sa_results.csv"
"ssaINMBbase","317,672","ssa","Structural SA: base-case INMB at the base-case severity-weighted threshold (NOK)","structural_sa_results.csv"
"ssaINMBminFloor","53,144","ssa","Structural SA: minimum scenario INMB at the derived opportunity-cost floor threshold (NOK)","structural_sa_results.csv"
"powsaINMBrangeHRos","148,849","powsa","POWSA INMB range: HR OS (NOK)","owpsa_v7_results.csv"
"powsaINMBrangeHRdfs","396,034","powsa","POWSA INMB range: HR DFS (NOK)","owpsa_v7_results.csv"
"powsaINMBrangeProgressedCost","18,689","powsa","POWSA INMB range: shared progressed-disease annual cost (NOK)","owpsa_v7_results.csv"
"powsaINMBrangeSurveillanceCost","1,333","powsa","POWSA INMB range: shared surveillance annual cost (NOK)","owpsa_v7_results.csv"
