"concept_id","owner_kind","owner_path","owner_key","current_rendered_value","parameter_identity","source_object","source_object_sha256"
"detICER","latex_macro","output/model-results.tex","detICER","35,995","Deterministic ICER (NOK/QALY)","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detIncrCost","latex_macro","output/model-results.tex","detIncrCost","32,764","Deterministic incremental cost (NOK)","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detIncrQALY","latex_macro","output/model-results.tex","detIncrQALY","0.910","Deterministic incremental QALYs","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detIncrLY","latex_macro","output/model-results.tex","detIncrLY","1.15","Deterministic incremental life-years (discounted)","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detIncrLYundisc","latex_macro","output/model-results.tex","detIncrLYundisc","2.23","Deterministic incremental life-years (undiscounted)","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detCostPerLY","latex_macro","output/model-results.tex","detCostPerLY","28,576","Deterministic cost per life-year gained (NOK/LY)","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detQALYexercise","latex_macro","output/model-results.tex","detQALYexercise","11.160","Exercise arm total discounted QALYs","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detQALYcontrol","latex_macro","output/model-results.tex","detQALYcontrol","10.250","Control arm total discounted QALYs","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detCostExercise","latex_macro","output/model-results.tex","detCostExercise","526,535","Exercise arm total cost (NOK)","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detCostControl","latex_macro","output/model-results.tex","detCostControl","493,771","Control arm total cost (NOK)","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detQALYctrlUndisc","latex_macro","output/model-results.tex","detQALYctrlUndisc","15.89","Control arm undiscounted QALYs","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detIncrQALYundisc","latex_macro","output/model-results.tex","detIncrQALYundisc","1.735","Deterministic incremental QALYs (undiscounted)","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detIncrCostUndisc","latex_macro","output/model-results.tex","detIncrCostUndisc","71,320","Deterministic incremental cost (NOK, undiscounted)","output/tables/deterministic_results.csv","b173ed25334f133795afd987f68fb8faed640ad670ef3717e62d80bc92f0875c"
"detICERstd","latex_macro","output/model-results.tex","detICERstd","20,636","Deterministic ICER healthcare-services-only perspective (NOK/QALY)","data/processed/perspective_delta.rds","cd9000208267d339be7e831241b09ee57f67fd81893003a0ab07ffd5ed068838"
"detPerspectiveDelta","latex_macro","output/model-results.tex","detPerspectiveDelta","15,359","Perspective ICER difference (NOK/QALY)","data/processed/perspective_delta.rds","cd9000208267d339be7e831241b09ee57f67fd81893003a0ab07ffd5ed068838"
"detPerspectiveDeltaPct","latex_macro","output/model-results.tex","detPerspectiveDeltaPct","74","Perspective ICER difference (percentage)","data/processed/perspective_delta.rds","cd9000208267d339be7e831241b09ee57f67fd81893003a0ab07ffd5ed068838"
"psaICER","latex_macro","output/model-results.tex","psaICER","33,089","PA mean ICER (NOK/QALY, ratio of means)","data/processed/psa_results.rds","ddce9e4d107b7cb82ad7b9c4ce796449c7666289a9f9e90231b444132a3a0e45"
"psaIncrCost","latex_macro","output/model-results.tex","psaIncrCost","29,224","PA mean incremental cost (NOK)","data/processed/psa_results.rds","ddce9e4d107b7cb82ad7b9c4ce796449c7666289a9f9e90231b444132a3a0e45"
"psaIncrQALY","latex_macro","output/model-results.tex","psaIncrQALY","0.883","PA mean incremental QALYs","data/processed/psa_results.rds","ddce9e4d107b7cb82ad7b9c4ce796449c7666289a9f9e90231b444132a3a0e45"
